matchTimestamp,type.primary,type.secondary,player.name,team.name,pass.recipient.name
00:00:01.653,pass,"['back_pass', 'short_or_medium_pass', 'under_pressure']",S. Jackson,Grasshopper,I. Rutishauser
00:00:02.834,pass,"['lateral_pass', 'short_or_medium_pass']",I. Rutishauser,Grasshopper,Marta Cazalla
00:00:06.556,pass,"['lateral_pass', 'short_or_medium_pass']",Marta Cazalla,Grasshopper,R. Rinast
00:00:09.046,pass,"['lateral_pass', 'short_or_medium_pass']",R. Rinast,Grasshopper,Marta Cazalla
00:00:12.477,pass,"['lateral_pass', 'short_or_medium_pass']",Marta Cazalla,Grasshopper,R. Rinast
00:00:14.283,pass,['short_or_medium_pass'],R. Rinast,Grasshopper,Marta Cazalla
00:00:22.720,pass,"['forward_pass', 'long_pass', 'progressive_pass']",Marta Cazalla,Grasshopper,E. Ljustina
00:00:24.267,pass,"['lateral_pass', 'short_or_medium_pass', 'under_pressure']",E. Ljustina,Grasshopper,E. Pápai
00:00:28.326,pass,"['forward_pass', 'short_or_medium_pass']",J. Stierli,Zürich,M. Höbinger
00:00:32.053,pass,"['forward_pass', 'long_pass', 'loss', 'pass_to_final_third', 'pass_to_penalty_area', 'through_pass']",M. Höbinger,Zürich,I. Rutishauser
00:00:40.319,pass,"['lateral_pass', 'short_or_medium_pass']",S. Jackson,Grasshopper,R. Rinast
00:00:41.452,pass,"['forward_pass', 'short_or_medium_pass', 'under_pressure']",R. Rinast,Grasshopper,
00:00:53.006,pass,"['forward_pass', 'head_pass', 'loss', 'progressive_pass', 'short_or_medium_pass']",Marta Cazalla,Grasshopper,V. Pinther
00:01:04.116,pass,"['forward_pass', 'pass_to_final_third', 'short_or_medium_pass']",E. Pápai,Grasshopper,N. Riesen
00:01:07.106,pass,"['back_pass', 'recovery', 'short_or_medium_pass']",N. Riesen,Zürich,S. Friedli
00:01:09.432,pass,"['lateral_pass', 'short_or_medium_pass']",S. Friedli,Zürich,N. Mégroz
00:01:14.608,pass,"['lateral_pass', 'short_or_medium_pass']",N. Mégroz,Zürich,S. Friedli
00:01:18.788,pass,"['lateral_pass', 'short_or_medium_pass']",S. Friedli,Zürich,L. Vetterlein
00:01:21.217,pass,"['forward_pass', 'short_or_medium_pass']",L. Vetterlein,Zürich,N. Mégroz
00:01:24.095,pass,"['lateral_pass', 'short_or_medium_pass']",N. Mégroz,Zürich,K. Dubs
00:01:28.713,pass,"['back_pass', 'loss', 'short_or_medium_pass', 'under_pressure']",S. Jackson,Grasshopper,F. Humm
00:01:35.026,pass,['short_or_medium_pass'],F. Humm,Zürich,K. Dubs
00:01:37.990,pass,['short_or_medium_pass'],F. Humm,Zürich,M. Höbinger
00:01:40.027,pass,"['forward_pass', 'long_pass', 'loss', 'pass_to_final_third', 'through_pass']",M. Höbinger,Zürich,Marta Cazalla
00:02:27.954,pass,"['lateral_pass', 'short_or_medium_pass']",Marta Cazalla,Grasshopper,K. Buzás
00:02:34.818,pass,"['lateral_pass', 'short_or_medium_pass']",K. Buzás,Grasshopper,V. Laino
00:02:35.990,pass,"['lateral_pass', 'short_or_medium_pass']",V. Laino,Grasshopper,K. Buzás
00:02:38.017,pass,"['lateral_pass', 'short_or_medium_pass']",K. Buzás,Grasshopper,Marta Cazalla
00:02:43.775,pass,['short_or_medium_pass'],Marta Cazalla,Grasshopper,Zhang Linyan
00:02:45.164,pass,"['forward_pass', 'recovery', 'short_or_medium_pass']",M. Höbinger,Zürich,F. Humm
00:02:47.068,pass,"['forward_pass', 'pass_to_penalty_area', 'short_or_medium_pass', 'smart_pass', 'through_pass']",F. Humm,Zürich,V. Laino
00:03:02.555,pass,"['lateral_pass', 'short_or_medium_pass']",K. Buzás,Grasshopper,I. Rutishauser
00:03:04.836,pass,['short_or_medium_pass'],I. Rutishauser,Grasshopper,Marta Cazalla
00:03:12.530,pass,"['forward_pass', 'short_or_medium_pass']",Marta Cazalla,Grasshopper,Zhang Linyan
00:03:14.771,pass,"['lateral_pass', 'short_or_medium_pass', 'under_pressure']",Zhang Linyan,Grasshopper,R. Rinast
00:03:18.462,pass,"['lateral_pass', 'short_or_medium_pass']",R. Rinast,Grasshopper,V. Laino
00:03:20.024,pass,"['short_or_medium_pass', 'under_pressure']",V. Laino,Grasshopper,E. Pápai
00:03:21.877,pass,"['back_pass', 'linkup_play', 'short_or_medium_pass']",E. Pápai,Grasshopper,I. Rutishauser
00:03:24.567,pass,"['lateral_pass', 'short_or_medium_pass']",I. Rutishauser,Grasshopper,K. Buzás
00:03:27.518,pass,"['forward_pass', 'loss', 'short_or_medium_pass']",K. Buzás,Grasshopper,L. Vetterlein
00:03:29.679,pass,"['forward_pass', 'loss', 'recovery', 'short_or_medium_pass']",L. Vetterlein,Zürich,M. Rey
00:03:40.031,pass,"['loss', 'short_or_medium_pass']",E. Pfister,Grasshopper,K. Dubs
00:03:56.343,pass,"['forward_pass', 'loss', 'pass_to_final_third', 'short_or_medium_pass']",N. Riesen,Zürich,Marta Cazalla
00:04:02.956,pass,"['lateral_pass', 'recovery', 'short_or_medium_pass']",I. Rutishauser,Grasshopper,S. Jackson
00:04:05.926,pass,"['forward_pass', 'short_or_medium_pass']",S. Jackson,Grasshopper,Zhang Linyan
00:04:10.738,pass,"['lateral_pass', 'short_or_medium_pass']",Zhang Linyan,Grasshopper,
00:04:23.143,pass,"['forward_pass', 'short_or_medium_pass', 'under_pressure']",Marta Cazalla,Grasshopper,R. Rinast
00:04:26.372,pass,"['forward_pass', 'long_pass', 'loss', 'pass_to_final_third']",R. Rinast,Grasshopper,L. Vetterlein
